Data Source: 2024 Dataset (released November 2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1989,Propylene,'0000115071',C,R,NAICS 331 - Primary Metals,11000,0,11000,0,0,0,11000,.,11000,.,.,.,0,.,0,0,0,0,0,0,0,0,0,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1989,Toluene,'0000108883',C,R,NAICS 331 - Primary Metals,18000,180000,198000,300,0,0,198300,37,198337,.,.,.,0,37,0,0,0,0,0,0,0,0,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1989,Xylene (mixed isomers),'0001330207',C,R,NAICS 331 - Primary Metals,5500,70000,75500,0,0,0,75500,.,75500,.,.,.,0,.,0,0,0,0,0,0,0,0,0,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Ammonia,'0007664417',C,R,NAICS 331 - Primary Metals,270000,870000,1140000,0,0,0,1140000,2133,1142133,.,.,.,0,2133,0,0,0,0,0,0,0,0,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Anthracene,'0000120127',C,R,NAICS 331 - Primary Metals,190,0,190,0,0,0,190,200,390,.,.,.,0,200,0,0,0,0,0,0,0,0,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Benzene,'0000071432',C,R,NAICS 331 - Primary Metals,76000,840000,916000,8,0,0,916008,95,916103,.,.,.,0,95,0,0,0,0,0,0,0,0,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Cyanide compounds,'N106',C,R,NAICS 331 - Primary Metals,17000,120000,137000,3100,0,0,140100,790,140890,.,.,.,0,790,0,0,0,0,0,0,0,0,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Ethylbenzene,'0000100414',C,R,NAICS 331 - Primary Metals,820,11000,11820,0,0,0,11820,1,11821,.,.,.,0,1,0,0,0,0,0,0,0,0,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Ethylene,'0000074851',C,R,NAICS 331 - Primary Metals,55000,0,55000,0,0,0,55000,.,55000,.,.,.,0,.,0,0,0,0,0,0,0,0,0,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Naphthalene,'0000091203',C,R,NAICS 331 - Primary Metals,11000,22000,33000,8,0,0,33008,260,33268,.,.,.,0,260,0,0,0,0,0,0,0,0,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Phenol,'0000108952',C,R,NAICS 331 - Primary Metals,31000,14000,45000,970,0,0,45970,21,45991,.,.,.,0,21,0,0,0,0,0,0,0,0,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Propylene,'0000115071',C,R,NAICS 331 - Primary Metals,8800,0,8800,0,0,0,8800,.,8800,.,.,.,0,.,0,0,0,0,0,0,0,0,0,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Toluene,'0000108883',C,R,NAICS 331 - Primary Metals,11000,150000,161000,0,0,0,161000,16,161016,.,.,.,0,16,0,0,0,0,0,0,0,0,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1990,Xylene (mixed isomers),'0001330207',C,R,NAICS 331 - Primary Metals,3600,54000,57600,0,0,0,57600,.,57600,.,.,.,0,.,0,0,0,0,0,0,0,0,0,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Ammonia,'0007664417',C,R,NAICS 331 - Primary Metals,58000,290000,348000,0,0,0,348000,420,348420,.,.,.,0,420,69000,0,0,0,2100000,0,350000,2519000,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Anthracene,'0000120127',C,R,NAICS 331 - Primary Metals,120,0,120,0,0,0,120,.,120,.,.,.,0,.,0,0,0,0,0,2900,0,120,3020,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Benzene,'0000071432',C,R,NAICS 331 - Primary Metals,21000,450000,471000,6,0,0,471006,11000,482006,.,.,340,0,11340,10000,0,0,0,600,340,470000,480940,11000,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Cyanide compounds,'N106',C,R,NAICS 331 - Primary Metals,10000,39000,49000,27000,0,0,76000,2,76002,.,.,.,0,2,32000,0,0,0,2700000,0,76000,2808000,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Ethylbenzene,'0000100414',C,R,NAICS 331 - Primary Metals,230,5900,6130,0,0,0,6130,.,6130,.,.,.,0,.,0,0,0,0,0,100,0,6130,6230,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Ethylene,'0000074851',C,R,NAICS 331 - Primary Metals,17000,110,17110,0,0,0,17110,.,17110,.,.,.,0,.,0,0,0,0,0,0,0,17000,17000,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Naphthalene,'0000091203',C,R,NAICS 331 - Primary Metals,6500,12000,18500,22,0,0,18522,.,18522,.,.,.,0,.,0,0,0,0,0,2200,0,19000,21200,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Phenol,'0000108952',C,R,NAICS 331 - Primary Metals,20000,4900,24900,120,0,0,25020,3,25023,.,.,.,0,3,54,0,0,0,12000,0,25000,37054,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Propylene,'0000115071',C,R,NAICS 331 - Primary Metals,2800,19,2819,0,0,0,2819,.,2819,.,.,.,0,.,0,0,0,0,0,0,0,2800,2800,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Toluene,'0000108883',C,R,NAICS 331 - Primary Metals,3200,81000,84200,0,0,0,84200,.,84200,.,.,.,0,.,0,0,0,0,0,200,0,84000,84200,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1991,Xylene (mixed isomers),'0001330207',C,R,NAICS 331 - Primary Metals,990,29000,29990,0,0,0,29990,.,29990,.,.,.,0,.,0,0,0,0,0,100,0,30000,30100,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Ammonia,'0007664417',C,R,NAICS 331 - Primary Metals,11000,14000,25000,0,0,0,25000,.,25000,.,.,.,0,.,0,160000,0,0,0,6900000,0,30000,7090000,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Anthracene,'0000120127',C,R,NAICS 331 - Primary Metals,130,0,130,0,0,0,130,.,130,.,.,.,0,.,0,0,0,0,0,3600,0,130,3730,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Benzene,'0000071432',C,R,NAICS 331 - Primary Metals,15000,38000,53000,7,0,0,53007,2100,55107,.,.,120,0,2220,8700,11,0,0,740,120,53000,62571,2100,
